year,age,sex,pop,deaths,mort_rx,surv_rx
2022,0,Male," 100,000 ", 339 ,0.003394,0.996606
2022,1,Male," 99,661 ", 20 ,0.000199,0.999801
2022,2,Male," 99,641 ", 17 ,0.000171,0.999829
2022,3,Male," 99,624 ", 12 ,0.000124,0.999876
2022,4,Male," 99,611 ", 9 ,0.000092,0.999908
2022,5,Male," 99,602 ", 8 ,0.000078,0.999922
2022,6,Male," 99,594 ", 7 ,0.000074,0.999926
2022,7,Male," 99,587 ", 7 ,0.000074,0.999926
2022,8,Male," 99,580 ", 7 ,0.000074,0.999926
2022,9,Male," 99,572 ", 7 ,0.000073,0.999927
2022,10,Male," 99,565 ", 7 ,0.000075,0.999925
2022,11,Male," 99,558 ", 8 ,0.000082,0.999918
2022,12,Male," 99,549 ", 10 ,0.000096,0.999904
2022,13,Male," 99,540 ", 12 ,0.000121,0.999879
2022,14,Male," 99,528 ", 16 ,0.000159,0.999841
2022,15,Male," 99,512 ", 22 ,0.000220,0.999780
2022,16,Male," 99,490 ", 32 ,0.000326,0.999674
2022,17,Male," 99,458 ", 44 ,0.000438,0.999562
2022,18,Male," 99,414 ", 51 ,0.000508,0.999492
2022,19,Male," 99,364 ", 54 ,0.000542,0.999458
2022,20,Male," 99,310 ", 56 ,0.000559,0.999441
2022,21,Male," 99,254 ", 57 ,0.000575,0.999425
2022,22,Male," 99,197 ", 59 ,0.000592,0.999408
2022,23,Male," 99,138 ", 60 ,0.000610,0.999390
2022,24,Male," 99,078 ", 62 ,0.000628,0.999372
2022,25,Male," 99,016 ", 64 ,0.000648,0.999352
2022,26,Male," 98,952 ", 66 ,0.000668,0.999332
2022,27,Male," 98,885 ", 68 ,0.000689,0.999311
2022,28,Male," 98,817 ", 70 ,0.000710,0.999290
2022,29,Male," 98,747 ", 72 ,0.000732,0.999268
2022,30,Male," 98,675 ", 74 ,0.000755,0.999245
2022,31,Male," 98,600 ", 77 ,0.000782,0.999218
2022,32,Male," 98,523 ", 80 ,0.000811,0.999189
2022,33,Male," 98,443 ", 83 ,0.000845,0.999155
2022,34,Male," 98,360 ", 87 ,0.000883,0.999117
2022,35,Male," 98,273 ", 91 ,0.000927,0.999073
2022,36,Male," 98,182 ", 96 ,0.000977,0.999023
2022,37,Male," 98,086 ", 101 ,0.001034,0.998966
2022,38,Male," 97,985 ", 108 ,0.001099,0.998901
2022,39,Male," 97,877 ", 115 ,0.001173,0.998827
2022,40,Male," 97,762 ", 123 ,0.001255,0.998745
2022,41,Male," 97,640 ", 132 ,0.001348,0.998652
2022,42,Male," 97,508 ", 142 ,0.001452,0.998548
2022,43,Male," 97,367 ", 153 ,0.001567,0.998433
2022,44,Male," 97,214 ", 165 ,0.001694,0.998306
2022,45,Male," 97,049 ", 178 ,0.001834,0.998166
2022,46,Male," 96,871 ", 193 ,0.001988,0.998012
2022,47,Male," 96,679 ", 208 ,0.002156,0.997844
2022,48,Male," 96,470 ", 226 ,0.002340,0.997660
2022,49,Male," 96,245 ", 244 ,0.002540,0.997460
2022,50,Male," 96,000 ", 265 ,0.002756,0.997244
2022,51,Male," 95,736 ", 286 ,0.002990,0.997010
2022,52,Male," 95,449 ", 310 ,0.003244,0.996756
2022,53,Male," 95,140 ", 335 ,0.003520,0.996480
2022,54,Male," 94,805 ", 362 ,0.003821,0.996179
2022,55,Male," 94,442 ", 392 ,0.004147,0.995853
2022,56,Male," 94,051 ", 424 ,0.004503,0.995497
2022,57,Male," 93,627 ", 458 ,0.004891,0.995109
2022,58,Male," 93,169 ", 495 ,0.005311,0.994689
2022,59,Male," 92,675 ", 535 ,0.005768,0.994232
2022,60,Male," 92,140 ", 577 ,0.006262,0.993738
2022,61,Male," 91,563 ", 622 ,0.006797,0.993203
2022,62,Male," 90,941 ", 671 ,0.007374,0.992626
2022,63,Male," 90,270 ", 722 ,0.007996,0.992004
2022,64,Male," 89,548 ", 776 ,0.008668,0.991332
2022,65,Male," 88,772 ", 835 ,0.009403,0.990597
2022,66,Male," 87,937 ", 899 ,0.010220,0.989780
2022,67,Male," 87,039 ", 969 ,0.011134,0.988866
2022,68,Male," 86,070 "," 1,047 ",0.012163,0.987837
2022,69,Male," 85,023 "," 1,133 ",0.013323,0.986677
2022,70,Male," 83,890 "," 1,227 ",0.014630,0.985370
2022,71,Male," 82,663 "," 1,331 ",0.016102,0.983898
2022,72,Male," 81,332 "," 1,444 ",0.017759,0.982241
2022,73,Male," 79,887 "," 1,570 ",0.019648,0.980352
2022,74,Male," 78,318 "," 1,709 ",0.021819,0.978181
2022,75,Male," 76,609 "," 1,863 ",0.024321,0.975679
2022,76,Male," 74,746 "," 2,033 ",0.027204,0.972796
2022,77,Male," 72,712 "," 2,219 ",0.030515,0.969485
2022,78,Male," 70,493 "," 2,418 ",0.034301,0.965699
2022,79,Male," 68,075 "," 2,628 ",0.038608,0.961392
2022,80,Male," 65,447 "," 2,846 ",0.043480,0.956520
2022,81,Male," 62,601 "," 3,066 ",0.048974,0.951026
2022,82,Male," 59,536 "," 3,287 ",0.055216,0.944784
2022,83,Male," 56,248 "," 3,507 ",0.062341,0.937659
2022,84,Male," 52,742 "," 3,717 ",0.070479,0.929521
2022,85,Male," 49,025 "," 3,910 ",0.079750,0.920250
2022,86,Male," 45,115 "," 4,072 ",0.090265,0.909735
2022,87,Male," 41,043 "," 4,192 ",0.102126,0.897874
2022,88,Male," 36,851 "," 4,253 ",0.115420,0.884580
2022,89,Male," 32,598 "," 4,245 ",0.130219,0.869781
2022,90,Male," 28,353 "," 4,152 ",0.146446,0.853554
2022,91,Male," 24,201 "," 3,957 ",0.163495,0.836505
2022,92,Male," 20,244 "," 3,658 ",0.180675,0.819325
2022,93,Male," 16,586 "," 3,276 ",0.197485,0.802515
2022,94,Male," 13,311 "," 2,848 ",0.213996,0.786004
2022,95,Male," 10,462 "," 2,411 ",0.230397,0.769603
2022,96,Male," 8,052 "," 1,988 ",0.246856,0.753144
2022,97,Male," 6,064 "," 1,600 ",0.263804,0.736196
2022,98,Male," 4,464 "," 1,258 ",0.281710,0.718290
2022,99,Male," 3,207 ", 962 ,0.299994,0.700006
2022,100,Male," 2,245 ", 714 ,0.318046,0.681954
2022,101,Male," 1,531 ", 513 ,0.335204,0.664796
2022,102,Male," 1,018 ", 357 ,0.350771,0.649229
2022,103,Male, 661 , 242 ,0.365552,0.634448
2022,104,Male, 419 , 159 ,0.379628,0.620372
2022,105,Male, 260 , 102 ,0.393023,0.606977
2022,106,Male, 158 , 64 ,0.405763,0.594237
2022,107,Male, 94 , 39 ,0.417874,0.582126
2022,108,Male, 55 , 23 ,0.429380,0.570620
2022,109,Male, 31 , 14 ,0.440307,0.559693
2022,0,Female," 100,000 ", 295 ,0.002950,0.997050
2022,1,Female," 99,705 ", 20 ,0.000202,0.999798
2022,2,Female," 99,685 ", 10 ,0.000105,0.999895
2022,3,Female," 99,674 ", 10 ,0.000097,0.999903
2022,4,Female," 99,665 ", 9 ,0.000088,0.999912
2022,5,Female," 99,656 ", 8 ,0.000079,0.999921
2022,6,Female," 99,648 ", 7 ,0.000071,0.999929
2022,7,Female," 99,641 ", 6 ,0.000064,0.999936
2022,8,Female," 99,635 ", 6 ,0.000058,0.999942
2022,9,Female," 99,629 ", 6 ,0.000056,0.999944
2022,10,Female," 99,623 ", 6 ,0.000057,0.999943
2022,11,Female," 99,618 ", 6 ,0.000062,0.999938
2022,12,Female," 99,611 ", 7 ,0.000072,0.999928
2022,13,Female," 99,604 ", 9 ,0.000087,0.999913
2022,14,Female," 99,596 ", 11 ,0.000108,0.999892
2022,15,Female," 99,585 ", 14 ,0.000136,0.999864
2022,16,Female," 99,571 ", 17 ,0.000172,0.999828
2022,17,Female," 99,554 ", 21 ,0.000209,0.999791
2022,18,Female," 99,533 ", 22 ,0.000226,0.999774
2022,19,Female," 99,511 ", 23 ,0.000235,0.999765
2022,20,Female," 99,487 ", 24 ,0.000240,0.999760
2022,21,Female," 99,464 ", 24 ,0.000242,0.999758
2022,22,Female," 99,440 ", 24 ,0.000243,0.999757
2022,23,Female," 99,415 ", 24 ,0.000244,0.999756
2022,24,Female," 99,391 ", 24 ,0.000245,0.999755
2022,25,Female," 99,367 ", 25 ,0.000249,0.999751
2022,26,Female," 99,342 ", 25 ,0.000255,0.999745
2022,27,Female," 99,317 ", 26 ,0.000264,0.999736
2022,28,Female," 99,290 ", 28 ,0.000279,0.999721
2022,29,Female," 99,263 ", 29 ,0.000296,0.999704
2022,30,Female," 99,233 ", 31 ,0.000315,0.999685
2022,31,Female," 99,202 ", 34 ,0.000338,0.999662
2022,32,Female," 99,169 ", 36 ,0.000363,0.999637
2022,33,Female," 99,133 ", 39 ,0.000392,0.999608
2022,34,Female," 99,094 ", 42 ,0.000425,0.999575
2022,35,Female," 99,052 ", 46 ,0.000462,0.999538
2022,36,Female," 99,006 ", 50 ,0.000503,0.999497
2022,37,Female," 98,956 ", 54 ,0.000548,0.999452
2022,38,Female," 98,902 ", 59 ,0.000599,0.999401
2022,39,Female," 98,843 ", 65 ,0.000654,0.999346
2022,40,Female," 98,778 ", 71 ,0.000715,0.999285
2022,41,Female," 98,707 ", 77 ,0.000782,0.999218
2022,42,Female," 98,630 ", 84 ,0.000855,0.999145
2022,43,Female," 98,546 ", 92 ,0.000934,0.999066
2022,44,Female," 98,454 ", 100 ,0.001019,0.998981
2022,45,Female," 98,353 ", 109 ,0.001111,0.998889
2022,46,Female," 98,244 ", 119 ,0.001211,0.998789
2022,47,Female," 98,125 ", 129 ,0.001318,0.998682
2022,48,Female," 97,996 ", 140 ,0.001432,0.998568
2022,49,Female," 97,856 ", 152 ,0.001554,0.998446
2022,50,Female," 97,703 ", 165 ,0.001685,0.998315
2022,51,Female," 97,539 ", 178 ,0.001824,0.998176
2022,52,Female," 97,361 ", 192 ,0.001972,0.998028
2022,53,Female," 97,169 ", 207 ,0.002131,0.997869
2022,54,Female," 96,962 ", 223 ,0.002302,0.997698
2022,55,Female," 96,739 ", 241 ,0.002487,0.997513
2022,56,Female," 96,498 ", 259 ,0.002688,0.997312
2022,57,Female," 96,239 ", 280 ,0.002908,0.997092
2022,58,Female," 95,959 ", 302 ,0.003147,0.996853
2022,59,Female," 95,657 ", 326 ,0.003407,0.996593
2022,60,Female," 95,331 ", 352 ,0.003690,0.996310
2022,61,Female," 94,979 ", 380 ,0.003999,0.996001
2022,62,Female," 94,599 ", 410 ,0.004335,0.995665
2022,63,Female," 94,189 ", 443 ,0.004699,0.995301
2022,64,Female," 93,747 ", 477 ,0.005093,0.994907
2022,65,Female," 93,269 ", 515 ,0.005520,0.994480
2022,66,Female," 92,754 ", 555 ,0.005981,0.994019
2022,67,Female," 92,200 ", 600 ,0.006510,0.993490
2022,68,Female," 91,599 ", 661 ,0.007220,0.992780
2022,69,Female," 90,938 ", 733 ,0.008058,0.991942
2022,70,Female," 90,205 ", 807 ,0.008944,0.991056
2022,71,Female," 89,398 ", 885 ,0.009902,0.990098
2022,72,Female," 88,513 ", 972 ,0.010980,0.989020
2022,73,Female," 87,541 "," 1,070 ",0.012226,0.987774
2022,74,Female," 86,471 "," 1,184 ",0.013687,0.986313
2022,75,Female," 85,288 "," 1,314 ",0.015412,0.984588
2022,76,Female," 83,973 "," 1,465 ",0.017447,0.982553
2022,77,Female," 82,508 "," 1,637 ",0.019838,0.980162
2022,78,Female," 80,871 "," 1,830 ",0.022630,0.977370
2022,79,Female," 79,041 "," 2,045 ",0.025869,0.974131
2022,80,Female," 76,996 "," 2,279 ",0.029597,0.970403
2022,81,Female," 74,718 "," 2,530 ",0.033855,0.966145
2022,82,Female," 72,188 "," 2,794 ",0.038708,0.961292
2022,83,Female," 69,394 "," 3,075 ",0.044309,0.955691
2022,84,Female," 66,319 "," 3,371 ",0.050829,0.949171
2022,85,Female," 62,948 "," 3,678 ",0.058432,0.941568
2022,86,Female," 59,270 "," 3,987 ",0.067273,0.932727
2022,87,Female," 55,283 "," 4,284 ",0.077496,0.922504
2022,88,Female," 50,998 "," 4,549 ",0.089195,0.910805
2022,89,Female," 46,450 "," 4,752 ",0.102311,0.897689
2022,90,Female," 41,697 "," 4,868 ",0.116744,0.883256
2022,91,Female," 36,829 "," 4,876 ",0.132391,0.867609
2022,92,Female," 31,954 "," 4,766 ",0.149146,0.850854
2022,93,Female," 27,188 "," 4,538 ",0.166899,0.833101
2022,94,Female," 22,650 "," 4,203 ",0.185542,0.814458
2022,95,Female," 18,448 "," 3,781 ",0.204981,0.795019
2022,96,Female," 14,666 "," 3,300 ",0.224983,0.775017
2022,97,Female," 11,367 "," 2,785 ",0.245023,0.754977
2022,98,Female," 8,581 "," 2,272 ",0.264713,0.735287
2022,99,Female," 6,310 "," 1,791 ",0.283782,0.716218
2022,100,Female," 4,519 "," 1,365 ",0.302064,0.697936
2022,101,Female," 3,154 "," 1,008 ",0.319485,0.680515
2022,102,Female," 2,146 ", 721 ,0.336057,0.663943
2022,103,Female," 1,425 ", 501 ,0.351859,0.648141
2022,104,Female, 924 , 339 ,0.367035,0.632965
2022,105,Female, 585 , 223 ,0.381783,0.618217
2022,106,Female, 361 , 143 ,0.395976,0.604024
2022,107,Female, 218 , 89 ,0.409556,0.590444
2022,108,Female, 129 , 54 ,0.422538,0.577462
2022,109,Female, 74 , 32 ,0.434930,0.565070